Date,Area,Vehicles_Count,Avg_Speed,CO2_Level(ppm),PM2.5,Accidents
2025-01-18,AnnaNagar,1424,29,442,61,5
2025-01-18,T.Nagar,884,45,449,118,2
2025-01-18,Guindy,1828,38,387,106,5
2025-01-18,Velachery,866,46,483,118,0
2025-01-18,Kodambakkam,1097,25,365,84,2
2025-01-19,AnnaNagar,2075,20,586,55,4
2025-01-19,T.Nagar,1825,26,429,80,0
2025-01-19,Guindy,1380,32,433,50,0
2025-01-19,Velachery,1640,31,352,103,2
2025-01-19,Kodambakkam,2459,45,442,80,1
2025-01-20,AnnaNagar,1364,22,395,88,0
2025-01-20,T.Nagar,807,29,584,101,0
2025-01-20,Guindy,1756,36,472,112,5
2025-01-20,Velachery,1163,38,373,76,1
2025-01-20,Kodambakkam,1272,20,420,86,3
2025-01-21,AnnaNagar,2392,40,397,63,3
2025-01-21,T.Nagar,1623,49,395,50,0
2025-01-21,Guindy,2208,31,547,89,0
2025-01-21,Velachery,2026,36,410,64,5
2025-01-21,Kodambakkam,958,48,593,84,5
2025-01-22,AnnaNagar,816,49,575,71,2
2025-01-22,T.Nagar,1349,36,587,83,5
2025-01-22,Guindy,1507,41,563,73,1
2025-01-22,Velachery,1170,24,409,119,4
2025-01-22,Kodambakkam,2056,21,549,96,2
2025-01-23,AnnaNagar,1858,49,548,64,0
2025-01-23,T.Nagar,2207,27,567,69,2
2025-01-23,Guindy,2151,36,470,61,4
2025-01-23,Velachery,1529,43,367,94,1
2025-01-23,Kodambakkam,1863,41,515,90,2
2025-01-24,AnnaNagar,1148,46,439,94,3
2025-01-24,T.Nagar,1728,46,535,116,4
2025-01-24,Guindy,949,36,402,102,4
2025-01-24,Velachery,1856,45,441,52,2
2025-01-24,Kodambakkam,2444,37,476,98,0
2025-01-25,AnnaNagar,2309,25,393,64,2
2025-01-25,T.Nagar,2295,46,400,115,5
2025-01-25,Guindy,1177,25,423,105,5
2025-01-25,Velachery,1876,31,466,115,1
2025-01-25,Kodambakkam,2219,49,495,70,3
2025-01-26,AnnaNagar,2313,33,430,62,4
2025-01-26,T.Nagar,1301,25,383,106,3
2025-01-26,Guindy,1999,22,457,69,0
2025-01-26,Velachery,1155,40,460,117,3
2025-01-26,Kodambakkam,2268,40,573,70,0
2025-01-27,AnnaNagar,1617,42,511,111,2
2025-01-27,T.Nagar,2484,44,353,117,3
2025-01-27,Guindy,2053,39,374,86,5
2025-01-27,Velachery,1194,20,451,61,3
2025-01-27,Kodambakkam,1014,35,521,108,1
2025-01-28,AnnaNagar,1719,42,365,57,3
2025-01-28,T.Nagar,1473,35,591,58,4
2025-01-28,Guindy,1746,39,356,69,2
2025-01-28,Velachery,1534,42,364,56,2
2025-01-28,Kodambakkam,1603,27,465,68,0
2025-01-29,AnnaNagar,1710,35,560,83,1
2025-01-29,T.Nagar,838,34,536,59,4
2025-01-29,Guindy,1955,29,396,65,0
2025-01-29,Velachery,2242,31,378,107,4
2025-01-29,Kodambakkam,1806,43,522,91,5
2025-01-30,AnnaNagar,2116,38,506,55,2
2025-01-30,T.Nagar,1301,48,515,96,4
2025-01-30,Guindy,1748,35,408,83,2
2025-01-30,Velachery,2263,33,392,77,3
2025-01-30,Kodambakkam,2434,36,576,57,5
2025-01-31,AnnaNagar,1900,30,588,116,5
2025-01-31,T.Nagar,1316,41,451,119,4
2025-01-31,Guindy,867,35,480,108,0
2025-01-31,Velachery,975,48,550,73,3
2025-01-31,Kodambakkam,932,43,567,112,5
